,campus_name,borough,route_id,stop_count,total_ridership
214,Macaulay Honors College,Manhattan,M10,3,1112341
215,Macaulay Honors College,Manhattan,M104,2,1960370
216,Macaulay Honors College,Manhattan,M11,2,2793375
217,Macaulay Honors College,Manhattan,M20,2,487571
218,Macaulay Honors College,Manhattan,M5,2,1731771
219,Macaulay Honors College,Manhattan,M66,5,1643575
220,Macaulay Honors College,Manhattan,M7,3,2617369
221,Macaulay Honors College,Manhattan,M72,2,1028392
222,Baruch College,Manhattan,BM1,15,258265
223,Baruch College,Manhattan,BM2,15,216993
224,Baruch College,Manhattan,BM3,15,187652
225,Baruch College,Manhattan,BM4,15,131756
226,Baruch College,Manhattan,BXM10,2,479548
227,Baruch College,Manhattan,BXM6,2,218607
228,Baruch College,Manhattan,BXM7,2,731993
229,Baruch College,Manhattan,BXM8,2,471241
230,Baruch College,Manhattan,BXM9,2,518579
231,Baruch College,Manhattan,M1,2,2573060
232,Baruch College,Manhattan,M101,6,4278914
233,Baruch College,Manhattan,M102,6,2622408
234,Baruch College,Manhattan,M103,6,2446785
235,Baruch College,Manhattan,M2,2,2128389
236,Baruch College,Manhattan,M23+,13,2373211
237,Baruch College,Manhattan,M3,2,2961938
238,Baruch College,Manhattan,QM21,2,34590
239,Baruch College,Manhattan,QM63,3,30976
240,Baruch College,Manhattan,QM64,3,14619
241,Baruch College,Manhattan,QM68,3,24691
242,Baruch College,Manhattan,SIM10,15,438147
243,Baruch College,Manhattan,SIM11,15,189330
244,Baruch College,Manhattan,SIM3,15,182978
245,Baruch College,Manhattan,SIM31,15,143118
246,Baruch College,Manhattan,SIM6,15,329784
247,Baruch College,Manhattan,X27,2,489211
248,Baruch College,Manhattan,X28,1,489047
249,Baruch College,Manhattan,X37,17,225056
250,Baruch College,Manhattan,X38,17,197299
251,Brooklyn College,Brooklyn,B11,11,2005092
252,Brooklyn College,Brooklyn,B49,12,1944414
253,Brooklyn College,Brooklyn,B6,12,5318227
254,Brooklyn College,Brooklyn,BM1,10,258265
255,Brooklyn College,Brooklyn,BM3,10,187652
256,Brooklyn College,Brooklyn,BM4,10,131756
257,The City College of New York,Manhattan,BX33,2,278167
258,The City College of New York,Manhattan,M10,8,1112341
259,The City College of New York,Manhattan,M100,12,1640217
260,The City College of New York,Manhattan,M101,15,4278914
261,The City College of New York,Manhattan,M11,6,2793375
262,The City College of New York,Manhattan,M3,10,2961938
263,The City College of New York,Manhattan,M4,6,3580379
264,The City College of New York,Manhattan,M5,5,1731771
265,School of Medicine,Manhattan,M100,8,1640217
266,School of Medicine,Manhattan,M101,9,4278914
267,School of Medicine,Manhattan,M11,2,2793375
268,School of Medicine,Manhattan,M3,4,2961938
269,Hunter College,Manhattan,BXM1,4,386612
270,Hunter College,Manhattan,BXM10,1,479548
271,Hunter College,Manhattan,BXM11,1,324278
272,Hunter College,Manhattan,BXM3,1,221579
273,Hunter College,Manhattan,BXM4,1,132194
274,Hunter College,Manhattan,BXM6,1,218607
275,Hunter College,Manhattan,BXM7,1,731993
276,Hunter College,Manhattan,BXM8,1,471241
277,Hunter College,Manhattan,BXM9,1,518579
278,Hunter College,Manhattan,M1,3,2573060
279,Hunter College,Manhattan,M101,7,4278914
280,Hunter College,Manhattan,M102,7,2622408
281,Hunter College,Manhattan,M103,7,2446785
282,Hunter College,Manhattan,M2,3,2128389
283,Hunter College,Manhattan,M3,3,2961938
284,Hunter College,Manhattan,M4,3,3580379
285,Hunter College,Manhattan,M66,5,1643575
286,Hunter College,Manhattan,M72,5,1028392
287,Hunter College,Manhattan,M98,3,279075
288,John Jay College of Criminal Justice,Manhattan,M11,5,2793375
289,John Jay College of Criminal Justice,Manhattan,M12,4,384724
290,John Jay College of Criminal Justice,Manhattan,M31,4,2532961
291,John Jay College of Criminal Justice,Manhattan,M57,4,1709293
292,Lehman College,Bronx,BX1,12,1869965
293,Lehman College,Bronx,BX10,8,1639370
294,Lehman College,Bronx,BX2,12,1968148
295,Lehman College,Bronx,BX22,5,1440094
296,Lehman College,Bronx,BX25,11,450537
297,Lehman College,Bronx,BX26,11,477262
298,Lehman College,Bronx,BX28,8,1102792
299,Lehman College,Bronx,BX34,5,488350
300,Lehman College,Bronx,BX38,8,760422
301,Lehman College,Bronx,BXM4,8,132194
302,Queens College,Queens,Q17,5,3324072
303,Queens College,Queens,Q20,6,991706
304,Queens College,Queens,Q25,8,4957160
305,Queens College,Queens,Q44+,4,4414545
306,Queens College,Queens,Q64,2,1731107
307,Queens College,Queens,Q74,2,199312
308,Queens College,Queens,Q88,7,2225266
309,Queens College,Queens,QM4,2,120267
310,Queens College,Queens,QM44,2,30573
311,York College,Queens,Q06,4,1737349
312,York College,Queens,Q08,4,1845717
313,York College,Queens,Q09,2,734225
314,York College,Queens,Q110,11,1172052
315,York College,Queens,Q111,4,1818511
316,York College,Queens,Q112,9,898248
317,York College,Queens,Q113,4,685840
318,York College,Queens,Q114,4,1120777
319,York College,Queens,Q115,7,300982
320,York College,Queens,Q17,2,3324072
321,York College,Queens,Q20,9,991706
322,York College,Queens,Q25,2,4957160
323,York College,Queens,Q30,3,1449969
324,York College,Queens,Q31,3,1028789
325,York College,Queens,Q4,3,1462731
326,York College,Queens,Q41,5,1152582
327,York College,Queens,Q42,5,188440
328,York College,Queens,Q44+,3,4414545
329,York College,Queens,Q5,5,1771196
330,York College,Queens,Q54,8,2343826
331,York College,Queens,Q56,12,1206824
332,York College,Queens,Q65,2,4207464
333,York College,Queens,Q75,3,133596
334,York College,Queens,Q83,3,1601789
335,York College,Queens,Q84,2,769509
336,York College,Queens,Q85,5,1532124
337,York College,Queens,Q86,4,188279
338,York College,Queens,Q87,4,181233
339,York College,Queens,Q89,5,182582
340,York College,Queens,QM64,1,14619
